02-06-2022 21:10:54.391,-,API,"Router1,0013A20041C37EFF,802.15.4 TH,2003,COM11 - 115200/8/N/1/N,1,46"
02-06-2022 20:53:04.613,259,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:04.676,260,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:04.800,261,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:04.926,262,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:05.052,263,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:05.113,264,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:05.239,265,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:05.365,266,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:05.490,267,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:05.577,268,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:53:05.679,269,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:05.805,270,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:05.930,271,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:05.993,272,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:06.119,273,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:06.244,274,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:06.369,275,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:06.444,276,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:06.559,277,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:06.685,278,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:06.810,279,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:06.872,280,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:06.997,281,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:07.121,282,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:07.247,283,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:07.309,284,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:07.433,285,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:07.559,286,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:07.684,287,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:07.747,288,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:07.869,289,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:53:07.995,290,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:53:08.118,291,RECV,7E00198100002E00313233343536373839306162636465666768696A4C
02-06-2022 20:53:08.181,292,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:08.306,293,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:53:08.432,294,RECV,7E00198100003500313233343536373839306162636465666768696A45
02-06-2022 20:53:08.558,295,RECV,7E00198100003500313233343536373839306162636465666768696A45
02-06-2022 20:53:08.620,296,RECV,7E00198100004400313233343536373839306162636465666768696A36
02-06-2022 20:53:08.746,297,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:08.870,298,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:08.997,299,RECV,7E00198100003A00313233343536373839306162636465666768696A40
02-06-2022 20:53:09.059,300,RECV,7E00198100002E00313233343536373839306162636465666768696A4C
02-06-2022 20:53:09.184,301,RECV,7E00198100002D00313233343536373839306162636465666768696A4D
02-06-2022 20:53:09.310,302,RECV,7E00198100002E00313233343536373839306162636465666768696A4C
02-06-2022 20:53:09.434,303,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:53:09.498,304,RECV,7E00198100002E00313233343536373839306162636465666768696A4C
02-06-2022 20:53:09.622,305,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
